date,sales
2014-01-01,4972
2014-01-02,4902
2014-01-03,4843
2014-01-04,4750
2014-01-05,4654
2014-01-06,4509
2014-01-07,4329
2014-01-08,4104
2014-01-09,4459
2014-01-10,5043
2014-01-11,5239
2014-01-12,5118
2014-01-13,4984
2014-01-14,4904
2014-01-15,4822
2014-01-16,4728
2014-01-18,4464
2014-01-19,4265
2014-01-20,4161
2014-01-21,4091
2014-01-22,3964
2014-01-23,3868
2014-01-24,3793
2014-01-25,3595
2014-01-26,3427
2014-01-27,3302
2014-01-28,3216
2014-01-29,2994
2014-01-30,2723
2014-01-31,2514
2014-02-01,2145
2014-02-02,1928
2014-02-03,1831
2014-02-04,1714
2014-02-05,1998
2014-02-06,2126
2014-02-07,2091
2014-02-08,2037
2014-02-09,1982
2014-02-12,7228
2014-02-13,7185
2014-02-14,7078
2014-02-15,6962
2014-02-16,6875
2014-02-17,6809
2014-02-18,6765
2014-02-19,6731
2014-02-20,6718
2014-02-21,6665
2014-02-22,6593
2014-02-23,6543
2014-02-24,6528
2014-02-25,6516
2014-02-26,6445
2014-02-27,6412
2014-02-28,6329
2014-03-01,6237
2014-03-02,6178
2014-03-03,6129
2014-03-05,6012
2014-03-06,5957
2014-03-07,5880
2014-03-08,5755
2014-03-09,5672
2014-03-10,5597
2014-03-11,5549
2014-03-12,5504
2014-03-13,4659
2014-03-14,4537
2014-03-16,4274
2014-03-17,4228
2014-03-18,4199
2014-03-19,4107
2014-03-20,4048
2014-03-21,3980
2014-03-22,3843
2014-03-23,3787
2014-03-24,3774
2014-03-25,3729
2014-03-26,3704
2014-03-27,3679
2014-03-28,3505
2014-03-29,3367
2014-03-30,3303
2014-03-31,3226
2014-04-01,3164
2014-04-02,3045
2014-04-03,2956
2014-04-04,2823
2014-04-05,2643
2014-04-06,2522
2014-04-07,2450
2014-04-08,2359
2014-04-09,2306
2014-04-10,2259
2014-04-11,2217
2014-04-12,2092
2014-04-13,1995
2014-04-14,1875
2014-04-15,1841
2014-04-16,1823
2014-04-17,1799
2014-04-18,1742
2014-04-19,1681
2014-04-20,1651
2014-04-21,1554
2014-04-22,1525
2014-04-23,1488
2014-04-24,1458
2014-04-25,1420
2014-04-26,1332
2014-04-27,1268
2014-04-28,1255
2014-04-29,1255
2014-04-30,1457
2014-05-01,1263
2014-05-02,1169
2014-05-03,1904
2014-05-04,1778
2014-05-05,1708
2014-05-06,1708
2014-05-07,2044
2014-05-08,1930
2014-05-09,1961
2014-05-10,1859
2014-05-11,1781
2014-05-12,1828
2014-05-13,1800
2014-05-14,1687
2014-05-15,1969
2014-05-16,1977
2014-05-17,1807
2014-05-18,1655
2014-05-19,1661
2014-05-20,1751
2014-05-21,1680
2014-05-22,2016
2014-05-23,1976
2014-05-24,1883
2014-05-25,1838
2014-05-26,1876
2014-05-27,1919
2014-05-28,3317
2014-05-29,3841
2014-05-30,3811
2014-05-31,3720
2014-06-01,3645
2014-06-02,3570
2014-06-03,3391
2014-06-04,3140
2014-06-05,2938
2014-06-06,2777
2014-06-07,2446
2014-06-08,2175
2014-06-09,1949
2014-06-10,1946
2014-06-11,2136
2014-06-12,2136
2014-06-13,2328
2014-06-14,2328
2014-06-15,2315
2014-06-16,2285
2014-06-17,2251
2014-06-18,2243
2014-06-19,2176
2014-06-20,2135
2014-06-21,2046
2014-06-22,1997
2014-06-23,2031
2014-06-24,2046
2014-06-25,2004
2014-06-26,2037
2014-06-27,1930
2014-06-28,1847
2014-06-29,1745
2014-06-30,1779
2014-07-01,1750
2014-07-02,1687
2014-07-03,1590
2014-07-04,1454
2014-07-05,1119
2014-07-06,820
2014-07-07,814
2014-07-08,812
2014-07-09,803
2014-07-10,794
2014-07-11,794
2014-07-12,794
2014-07-13,794
2014-07-14,794
2014-07-15,794
2014-07-16,794
2014-07-17,794
2014-07-18,794
2014-07-19,794
2014-07-20,794
2014-07-21,794
2014-07-22,792
2014-07-23,792
2014-07-24,888
2014-07-25,873
2014-07-26,864
2014-07-27,851
2014-07-28,1220
2014-07-29,1207
2014-07-30,1191
2014-07-31,1140
2014-08-01,1093
2014-08-02,1037
2014-08-03,992
2014-08-04,952
2014-08-05,935
2014-08-06,832
2014-08-07,760
2014-08-08,704
2014-08-09,704
2014-08-10,703
2014-08-11,703
2014-08-12,703
2014-08-13,703
2014-08-14,703
2014-08-15,703
2014-08-16,703
2014-08-17,703
2014-08-18,2143
2014-08-19,2143
2014-08-20,2075
2014-08-21,1908
2014-08-22,1695
2014-08-23,1356
2014-08-24,1227
2014-08-26,1271
2014-08-27,1186
2014-08-28,1186
2014-08-29,1186
2014-08-30,1186
2014-08-31,1186
2014-09-01,1474
2014-09-02,1474
2014-09-03,1474
2014-09-04,1474
2014-09-05,2146
2014-09-06,2146
2014-09-07,2146
2014-09-08,2082
2014-09-09,1928
2014-09-10,1785
2014-09-11,1689
2014-09-12,1549
2014-09-13,1484
2014-09-14,1481
2014-09-15,1410
2014-09-16,1352
2014-09-17,1962
2014-09-18,1996
2014-09-19,2126
2014-09-20,2532
2014-09-21,2433
2014-09-22,2394
2014-09-23,2285
2014-09-24,2168
2014-09-25,2064
2014-09-26,1956
2014-09-27,1014
2014-09-28,917
2014-09-29,832
2014-09-30,1896
2014-10-01,1801
2014-10-02,1637
2014-10-03,1835
2014-10-04,1730
2014-10-05,1683
2014-10-06,2097
2014-10-07,2109
2014-10-08,2028
2014-10-09,1934
2014-10-10,2254
2014-10-11,2126
2014-10-12,2041
2014-10-13,2087
2014-10-14,1996
2014-10-15,1903
2014-10-16,1852
2014-10-17,2246
2014-10-18,2117
2014-10-19,1998
2014-10-20,2049
2014-10-21,2067
2014-10-22,1977
2014-10-23,1899
2014-10-24,1837
2014-10-25,1740
2014-10-26,1629
2014-10-27,1574
2014-10-28,1510
2014-10-29,1449
2014-10-30,1368
2014-10-31,1237
2014-11-01,1077
2014-11-02,946
2014-11-03,903
2014-11-04,869
2014-11-05,836
2014-11-06,799
2014-11-07,717
2014-11-08,175
2014-11-09,30
2014-11-10,120
2014-11-11,80
2014-11-12,34
2014-11-13,33
2014-11-14,33
2014-11-15,32
2014-11-16,32
2014-11-17,32
2014-11-18,25
2014-11-19,24
2014-11-20,20
2014-11-21,19
2014-11-22,18
2014-11-23,16
2014-11-24,16
2014-11-25,16
2014-11-26,16
2014-11-27,16
2014-11-28,16
2014-11-29,16
2014-11-30,16
2014-12-01,16
2014-12-02,16
2014-12-03,16
2014-12-04,16
2014-12-05,16
2014-12-06,16
